# instance seed max_iter_dynamic    max_time    algorithm   selected_random_node    beta    max_iter_random alpha   percentage  n_type_nodes    max_dist    max_vehicles    time    mean_of mean_dynamic_of
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.99;0.5;5;0.7;200.0;2;0.2533233165740967;165.8;87.9
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.99;0.5;5;0.7;200.0;2;0.2582364082336426;170.3;85.0
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;2.147034168243408;909.0;406.5
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.99;0.5;5;0.7;200.0;2;0.8001909255981445;767.3;384.8
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;2.0194830894470215;899.0;443.5
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.99;0.5;5;0.7;200.0;2;0.8576982021331787;795.3;383.6
Set_102_234\p7.2.t.txt;2523461;10;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;2.154963254928589;909.0;444.5
Set_102_234\p7.2.t.txt;2523461;1000;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.7;0.5;5;0.7;200.0;2;91.44816279411316;655.163;402.446
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.7;0.5;5;0.7;200.0;2;10.997710227966309;630.28;375.5
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;8.86961317062378;675.78;394.4
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.9;0.5;5;0.7;200.0;2;9.267223834991455;775.56;401.8
Set_102_234\p7.2.t.txt;2523461;100;1;CONSTRUCTIVE_STATIC;GRASP;HIGHTEST;100;0.9;0.5;5;0.8;200.0;2;2.1653623580932617;886.0;458.8
Set_102_234\p7.2.t.txt;25234621;100;1;CONSTRUCTIVE_DYNAMIC;GRASP;HIGHTEST;1;0.8;0.5;5;0.7;200.0;2;8.955679655075073;698.15;404.19
